Majority protein IDs	protein_ID
XP_003126759.3;XP_005664304.1	XP_005664304.1
XP_003126763.1	XP_003126763.1
XP_020946999.1;XP_020946996.1;XP_020946995.1;XP_005653241.1;XP_020946994.1;XP_003126824.1;XP_005653239.1;XP_020946998.1;XP_020946997.1	XP_020946999.1
XP_020946999.1;XP_020946996.1;XP_020946995.1;XP_005653241.1;XP_020946994.1;XP_003126824.1;XP_005653239.1;XP_020946998.1;XP_020946997.1	XP_020946996.1
XP_020946999.1;XP_020946996.1;XP_020946995.1;XP_005653241.1;XP_020946994.1;XP_003126824.1;XP_005653239.1;XP_020946998.1;XP_020946997.1	XP_020946995.1
XP_020946999.1;XP_020946996.1;XP_020946995.1;XP_005653241.1;XP_020946994.1;XP_003126824.1;XP_005653239.1;XP_020946998.1;XP_020946997.1	XP_020946998.1
XP_020946999.1;XP_020946996.1;XP_020946995.1;XP_005653241.1;XP_020946994.1;XP_003126824.1;XP_005653239.1;XP_020946998.1;XP_020946997.1	XP_020946997.1
XP_003126898.3	XP_003126898.3
XP_003126904.2;XP_003355791.1	XP_003126904.2
XP_003126904.2;XP_003355791.1	XP_003355791.1
XP_003126917.1;XP_003126920.1;XP_005653299.1	XP_003126917.1
XP_003126917.1;XP_003126920.1;XP_005653299.1	XP_003126920.1
XP_003126917.1;XP_003126920.1;XP_005653299.1	XP_005653299.1
XP_003481845.1;XP_020949486.1;XP_003126945.3	XP_003481845.1
XP_003481845.1;XP_020949486.1;XP_003126945.3	XP_020949486.1
XP_003481845.1;XP_020949486.1;XP_003126945.3	XP_003126945.3
XP_003126970.2	XP_003126970.2
XP_020949745.1;XP_013853721.1;XP_003126976.1;XP_003126975.1	XP_020949745.1
XP_020949745.1;XP_013853721.1;XP_003126976.1;XP_003126975.1	XP_013853721.1
XP_020949745.1;XP_013853721.1;XP_003126976.1;XP_003126975.1	XP_003126976.1
XP_020949745.1;XP_013853721.1;XP_003126976.1;XP_003126975.1	XP_003126975.1
XP_003126994.1	XP_003126994.1
XP_003127021.2	XP_003127021.2
XP_003127042.1	XP_003127042.1
XP_003127050.1	XP_003127050.1
XP_005653317.1;XP_003127051.1	XP_005653317.1
XP_005653317.1;XP_003127051.1	XP_003127051.1
XP_003127107.1	XP_003127107.1
XP_003127167.2;XP_005664652.1	XP_003127167.2
XP_003127167.2;XP_005664652.1	XP_005664652.1
XP_005655941.1;XP_003127220.1	XP_005655941.1
XP_005655941.1;XP_003127220.1	XP_003127220.1
XP_003481921.1;XP_003127229.3;XP_005655963.1	XP_003481921.1
XP_003481921.1;XP_003127229.3;XP_005655963.1	XP_003127229.3
XP_003481921.1;XP_003127229.3;XP_005655963.1	XP_005655963.1
XP_003127286.3;XP_003356032.3	XP_003127286.3
XP_003127286.3;XP_003356032.3	XP_003356032.3
XP_013853985.1;XP_003127291.1	XP_013853985.1
XP_013853985.1;XP_003127291.1	XP_003127291.1
XP_005664745.1;XP_003127326.2;XP_013854062.1;XP_013854064.1;XP_020950362.1;XP_013854063.1;XP_020950361.1	XP_013854062.1
XP_005664745.1;XP_003127326.2;XP_013854062.1;XP_013854064.1;XP_020950362.1;XP_013854063.1;XP_020950361.1	XP_013854064.1
XP_005664745.1;XP_003127326.2;XP_013854062.1;XP_013854064.1;XP_020950362.1;XP_013854063.1;XP_020950361.1	XP_020950362.1
XP_005664745.1;XP_003127326.2;XP_013854062.1;XP_013854064.1;XP_020950362.1;XP_013854063.1;XP_020950361.1	XP_013854063.1
XP_005664745.1;XP_003127326.2;XP_013854062.1;XP_013854064.1;XP_020950362.1;XP_013854063.1;XP_020950361.1	XP_020950361.1
XP_013854105.1;XP_003127376.1	XP_013854105.1
XP_013854105.1;XP_003127376.1	XP_003127376.1
XP_003127419.3	XP_003127419.3
XP_020950568.1;XP_020950567.1;XP_003127453.1;XP_003127452.1	XP_020950568.1
XP_020950568.1;XP_020950567.1;XP_003127453.1;XP_003127452.1	XP_020950567.1
XP_020950568.1;XP_020950567.1;XP_003127453.1;XP_003127452.1	XP_003127453.1
XP_020950568.1;XP_020950567.1;XP_003127453.1;XP_003127452.1	XP_003127452.1
XP_013854212.1;XP_003127465.1	XP_013854212.1
XP_013854212.1;XP_003127465.1	XP_003127465.1
XP_005656031.1;XP_003127516.2	XP_005656031.1
XP_005656031.1;XP_003127516.2	XP_003127516.2
XP_003127552.3	XP_003127552.3
XP_003127605.2	XP_003127605.2
XP_005665053.1;XP_005665052.1;XP_003127622.1;XP_020951005.1;XP_020951004.1;XP_020951003.1;XP_003127623.1;XP_020951002.1;XP_020951001.1	XP_020951005.1
XP_005665053.1;XP_005665052.1;XP_003127622.1;XP_020951005.1;XP_020951004.1;XP_020951003.1;XP_003127623.1;XP_020951002.1;XP_020951001.1	XP_020951004.1
XP_005665053.1;XP_005665052.1;XP_003127622.1;XP_020951005.1;XP_020951004.1;XP_020951003.1;XP_003127623.1;XP_020951002.1;XP_020951001.1	XP_020951003.1
XP_005665053.1;XP_005665052.1;XP_003127622.1;XP_020951005.1;XP_020951004.1;XP_020951003.1;XP_003127623.1;XP_020951002.1;XP_020951001.1	XP_020951002.1
XP_005665053.1;XP_005665052.1;XP_003127622.1;XP_020951005.1;XP_020951004.1;XP_020951003.1;XP_003127623.1;XP_020951002.1;XP_020951001.1	XP_020951001.1
XP_003127676.1	XP_003127676.1
XP_005665104.1;XP_003127692.1	XP_005665104.1
XP_005665104.1;XP_003127692.1	XP_003127692.1
XP_020951258.1;XP_020951257.1;XP_020951256.1;XP_020951255.1;XP_003127758.1	XP_020951258.1
XP_020951258.1;XP_020951257.1;XP_020951256.1;XP_020951255.1;XP_003127758.1	XP_020951257.1
XP_020951258.1;XP_020951257.1;XP_020951256.1;XP_020951255.1;XP_003127758.1	XP_020951256.1
XP_020951258.1;XP_020951257.1;XP_020951256.1;XP_020951255.1;XP_003127758.1	XP_020951255.1
XP_020951258.1;XP_020951257.1;XP_020951256.1;XP_020951255.1;XP_003127758.1	XP_003127758.1
XP_003127816.2;XP_020951433.1	XP_003127816.2
XP_003127816.2;XP_020951433.1	XP_020951433.1
XP_003127836.1	XP_003127836.1
XP_003127843.1	XP_003127843.1
XP_003127871.2	XP_003127871.2
XP_020951657.1;XP_020951656.1;XP_020951655.1;XP_003127872.5;XP_020951665.1;XP_020951664.1;XP_020951663.1;XP_020951662.1	XP_020951657.1
XP_020951657.1;XP_020951656.1;XP_020951655.1;XP_003127872.5;XP_020951665.1;XP_020951664.1;XP_020951663.1;XP_020951662.1	XP_020951665.1
XP_020951657.1;XP_020951656.1;XP_020951655.1;XP_003127872.5;XP_020951665.1;XP_020951664.1;XP_020951663.1;XP_020951662.1	XP_020951664.1
XP_020951657.1;XP_020951656.1;XP_020951655.1;XP_003127872.5;XP_020951665.1;XP_020951664.1;XP_020951663.1;XP_020951662.1	XP_020951663.1
XP_020951657.1;XP_020951656.1;XP_020951655.1;XP_003127872.5;XP_020951665.1;XP_020951664.1;XP_020951663.1;XP_020951662.1	XP_020951662.1
XP_005665357.1;XP_003127892.2	XP_005665357.1
XP_005665357.1;XP_003127892.2	XP_003127892.2
XP_020951826.1;XP_005653461.1;XP_003127902.1	XP_020951826.1
XP_020951826.1;XP_005653461.1;XP_003127902.1	XP_005653461.1
XP_020951826.1;XP_005653461.1;XP_003127902.1	XP_003127902.1
XP_020952097.1;XP_020952096.1;XP_013854792.1;XP_020952095.1;XP_020952093.1;XP_020952092.1;XP_020952091.1;XP_003127965.2;XP_020952090.1;XP_020952089.1;XP_020952088.1;XP_020952087.1;XP_013854788.1;XP_005665424.1;XP_020952085.1;XP_013854785.1	XP_020952097.1
XP_020952097.1;XP_020952096.1;XP_013854792.1;XP_020952095.1;XP_020952093.1;XP_020952092.1;XP_020952091.1;XP_003127965.2;XP_020952090.1;XP_020952089.1;XP_020952088.1;XP_020952087.1;XP_013854788.1;XP_005665424.1;XP_020952085.1;XP_013854785.1	XP_020952096.1
XP_020952097.1;XP_020952096.1;XP_013854792.1;XP_020952095.1;XP_020952093.1;XP_020952092.1;XP_020952091.1;XP_003127965.2;XP_020952090.1;XP_020952089.1;XP_020952088.1;XP_020952087.1;XP_013854788.1;XP_005665424.1;XP_020952085.1;XP_013854785.1	XP_020952095.1
XP_020952097.1;XP_020952096.1;XP_013854792.1;XP_020952095.1;XP_020952093.1;XP_020952092.1;XP_020952091.1;XP_003127965.2;XP_020952090.1;XP_020952089.1;XP_020952088.1;XP_020952087.1;XP_013854788.1;XP_005665424.1;XP_020952085.1;XP_013854785.1	XP_020952093.1
XP_020952097.1;XP_020952096.1;XP_013854792.1;XP_020952095.1;XP_020952093.1;XP_020952092.1;XP_020952091.1;XP_003127965.2;XP_020952090.1;XP_020952089.1;XP_020952088.1;XP_020952087.1;XP_013854788.1;XP_005665424.1;XP_020952085.1;XP_013854785.1	XP_020952092.1
XP_020952080.1;XP_003127967.3;XP_020952079.1	XP_020952080.1
XP_020952080.1;XP_003127967.3;XP_020952079.1	XP_003127967.3
XP_020952080.1;XP_003127967.3;XP_020952079.1	XP_020952079.1
XP_003127982.1;XP_003356484.1;XP_003127983.1;XP_003127984.1	XP_003127982.1
XP_003127982.1;XP_003356484.1;XP_003127983.1;XP_003127984.1	XP_003356484.1
XP_003127982.1;XP_003356484.1;XP_003127983.1;XP_003127984.1	XP_003127983.1
XP_003127982.1;XP_003356484.1;XP_003127983.1;XP_003127984.1	XP_003127984.1
XP_005665445.1;XP_003128019.3	XP_005665445.1
XP_005665445.1;XP_003128019.3	XP_003128019.3
XP_003128033.2	XP_003128033.2
XP_013843826.1;XP_003128047.2;XP_013843825.1	XP_013843826.1
XP_013843826.1;XP_003128047.2;XP_013843825.1	XP_003128047.2
XP_013843826.1;XP_003128047.2;XP_013843825.1	XP_013843825.1
XP_003128059.3	XP_003128059.3
XP_003128108.1	XP_003128108.1
XP_013844371.2;XP_003128111.2;XP_005656251.2;XP_013844372.2;XP_003128112.2	XP_013844371.2
XP_013844371.2;XP_003128111.2;XP_005656251.2;XP_013844372.2;XP_003128112.2	XP_003128111.2
XP_013844371.2;XP_003128111.2;XP_005656251.2;XP_013844372.2;XP_003128112.2	XP_005656251.2
XP_013844371.2;XP_003128111.2;XP_005656251.2;XP_013844372.2;XP_003128112.2	XP_013844372.2
XP_013844371.2;XP_003128111.2;XP_005656251.2;XP_013844372.2;XP_003128112.2	XP_003128112.2
XP_003128148.2;XP_003128147.2;XP_003128146.2;XP_020952579.1	XP_003128148.2
XP_003128148.2;XP_003128147.2;XP_003128146.2;XP_020952579.1	XP_003128147.2
XP_003128148.2;XP_003128147.2;XP_003128146.2;XP_020952579.1	XP_003128146.2
XP_003128148.2;XP_003128147.2;XP_003128146.2;XP_020952579.1	XP_020952579.1
XP_003128149.1;XP_013832832.1;XP_013832831.1;XP_013832830.1	XP_003128149.1
XP_003128149.1;XP_013832832.1;XP_013832831.1;XP_013832830.1	XP_013832832.1
XP_003128149.1;XP_013832832.1;XP_013832831.1;XP_013832830.1	XP_013832831.1
XP_003128149.1;XP_013832832.1;XP_013832831.1;XP_013832830.1	XP_013832830.1
XP_003128180.1	XP_003128180.1
XP_003128181.1	XP_003128181.1
XP_020955762.1;XP_020955757.1;XP_020955756.1;XP_020955755.1;XP_020955754.1;XP_020955753.1;XP_003128194.1;XP_013844390.1;XP_013844389.1;XP_013844388.1;XP_020955764.1;XP_020955763.1;XP_020955761.1;XP_020955760.1;XP_020955759.1;XP_020955758.1	XP_020955762.1
XP_020955762.1;XP_020955757.1;XP_020955756.1;XP_020955755.1;XP_020955754.1;XP_020955753.1;XP_003128194.1;XP_013844390.1;XP_013844389.1;XP_013844388.1;XP_020955764.1;XP_020955763.1;XP_020955761.1;XP_020955760.1;XP_020955759.1;XP_020955758.1	XP_020955764.1
XP_020955762.1;XP_020955757.1;XP_020955756.1;XP_020955755.1;XP_020955754.1;XP_020955753.1;XP_003128194.1;XP_013844390.1;XP_013844389.1;XP_013844388.1;XP_020955764.1;XP_020955763.1;XP_020955761.1;XP_020955760.1;XP_020955759.1;XP_020955758.1	XP_020955763.1
XP_020955762.1;XP_020955757.1;XP_020955756.1;XP_020955755.1;XP_020955754.1;XP_020955753.1;XP_003128194.1;XP_013844390.1;XP_013844389.1;XP_013844388.1;XP_020955764.1;XP_020955763.1;XP_020955761.1;XP_020955760.1;XP_020955759.1;XP_020955758.1	XP_020955761.1
XP_020955762.1;XP_020955757.1;XP_020955756.1;XP_020955755.1;XP_020955754.1;XP_020955753.1;XP_003128194.1;XP_013844390.1;XP_013844389.1;XP_013844388.1;XP_020955764.1;XP_020955763.1;XP_020955761.1;XP_020955760.1;XP_020955759.1;XP_020955758.1	XP_020955760.1
XP_003128384.1	XP_003128384.1
XP_003128488.1	XP_003128488.1
XP_020954686.1;XP_003128529.1	XP_020954686.1
XP_020954686.1;XP_003128529.1	XP_003128529.1
XP_003128533.4	XP_003128533.4
XP_003128571.2;XP_013833588.1	XP_003128571.2
XP_003128571.2;XP_013833588.1	XP_013833588.1
XP_003128591.1;XP_005666291.1	XP_003128591.1
XP_003128591.1;XP_005666291.1	XP_005666291.1
XP_003128592.1	XP_003128592.1
XP_013844693.1;XP_005656526.1;XP_003128776.3	XP_013844693.1
XP_013844693.1;XP_005656526.1;XP_003128776.3	XP_005656526.1
XP_013844693.1;XP_005656526.1;XP_003128776.3	XP_003128776.3
XP_003128958.1	XP_003128958.1
XP_003128969.2	XP_003128969.2
XP_003128997.3;XP_003128996.1	XP_003128997.3
XP_003128997.3;XP_003128996.1	XP_003128996.1
XP_003129004.1;XP_020956223.1;XP_020956222.1	XP_003129004.1
XP_003129004.1;XP_020956223.1;XP_020956222.1	XP_020956223.1
XP_003129004.1;XP_020956223.1;XP_020956222.1	XP_020956222.1
XP_003129051.1;XP_005666725.1;XP_005666726.1	XP_003129051.1
XP_003129051.1;XP_005666725.1;XP_005666726.1	XP_005666725.1
XP_003129051.1;XP_005666725.1;XP_005666726.1	XP_005666726.1
XP_003129089.2	XP_003129089.2
XP_003129135.1	XP_003129135.1
XP_003129141.2	XP_003129141.2
XP_005666843.1;XP_005666842.1;XP_003129144.1;XP_013834262.1;XP_005666839.1;XP_005666838.1;XP_020957132.1;XP_020957131.1;XP_020957130.1;XP_020957128.1;XP_020957135.1;XP_020957133.1	XP_020957132.1
XP_005666843.1;XP_005666842.1;XP_003129144.1;XP_013834262.1;XP_005666839.1;XP_005666838.1;XP_020957132.1;XP_020957131.1;XP_020957130.1;XP_020957128.1;XP_020957135.1;XP_020957133.1	XP_020957131.1
XP_005666843.1;XP_005666842.1;XP_003129144.1;XP_013834262.1;XP_005666839.1;XP_005666838.1;XP_020957132.1;XP_020957131.1;XP_020957130.1;XP_020957128.1;XP_020957135.1;XP_020957133.1	XP_020957130.1
XP_005666843.1;XP_005666842.1;XP_003129144.1;XP_013834262.1;XP_005666839.1;XP_005666838.1;XP_020957132.1;XP_020957131.1;XP_020957130.1;XP_020957128.1;XP_020957135.1;XP_020957133.1	XP_020957135.1
XP_005666843.1;XP_005666842.1;XP_003129144.1;XP_013834262.1;XP_005666839.1;XP_005666838.1;XP_020957132.1;XP_020957131.1;XP_020957130.1;XP_020957128.1;XP_020957135.1;XP_020957133.1	XP_020957133.1
XP_003129218.4;XP_020956322.1	XP_003129218.4
XP_003129218.4;XP_020956322.1	XP_020956322.1
XP_003129266.2	XP_003129266.2
XP_003129306.1	XP_003129306.1
XP_013844819.1;XP_003357106.1;XP_003129333.2	XP_013844819.1
XP_013844819.1;XP_003357106.1;XP_003129333.2	XP_003357106.1
XP_013844819.1;XP_003357106.1;XP_003129333.2	XP_003129333.2
XP_003129349.1;XP_020957385.1;XP_020957386.1	XP_003129349.1
XP_003129349.1;XP_020957385.1;XP_020957386.1	XP_020957385.1
XP_003129349.1;XP_020957385.1;XP_020957386.1	XP_020957386.1
XP_003129362.1;XP_005656612.1	XP_003129362.1
XP_003129362.1;XP_005656612.1	XP_005656612.1
XP_003129639.1	XP_003129639.1
XP_020918175.1;XP_020918174.1;XP_020918173.1;XP_020918172.1;XP_003357246.1;XP_003129712.1;XP_013834595.1;XP_013834594.1;XP_020918176.1	XP_020918175.1
XP_020918175.1;XP_020918174.1;XP_020918173.1;XP_020918172.1;XP_003357246.1;XP_003129712.1;XP_013834595.1;XP_013834594.1;XP_020918176.1	XP_020918174.1
XP_020918175.1;XP_020918174.1;XP_020918173.1;XP_020918172.1;XP_003357246.1;XP_003129712.1;XP_013834595.1;XP_013834594.1;XP_020918176.1	XP_020918173.1
XP_020918175.1;XP_020918174.1;XP_020918173.1;XP_020918172.1;XP_003357246.1;XP_003129712.1;XP_013834595.1;XP_013834594.1;XP_020918176.1	XP_020918172.1
XP_020918175.1;XP_020918174.1;XP_020918173.1;XP_020918172.1;XP_003357246.1;XP_003129712.1;XP_013834595.1;XP_013834594.1;XP_020918176.1	XP_020918176.1
XP_003129789.1	XP_003129789.1
XP_003129882.1;XP_020918408.1	XP_003129882.1
XP_003129882.1;XP_020918408.1	XP_020918408.1
XP_003129926.1	XP_003129926.1
XP_020918606.1;XP_013834909.1;XP_013834908.1;XP_005667467.1;XP_005667466.1;XP_005667465.1;XP_003129962.1	XP_020918606.1
XP_020918606.1;XP_013834909.1;XP_013834908.1;XP_005667467.1;XP_005667466.1;XP_005667465.1;XP_003129962.1	XP_013834909.1
XP_020918606.1;XP_013834909.1;XP_013834908.1;XP_005667467.1;XP_005667466.1;XP_005667465.1;XP_003129962.1	XP_013834908.1
XP_020918606.1;XP_013834909.1;XP_013834908.1;XP_005667467.1;XP_005667466.1;XP_005667465.1;XP_003129962.1	XP_005667467.1
XP_020918606.1;XP_013834909.1;XP_013834908.1;XP_005667467.1;XP_005667466.1;XP_005667465.1;XP_003129962.1	XP_005667466.1
XP_003129966.2;XP_013834915.2;XP_020918608.1	XP_003129966.2
XP_003129966.2;XP_013834915.2;XP_020918608.1	XP_013834915.2
XP_003129966.2;XP_013834915.2;XP_020918608.1	XP_020918608.1
XP_003129968.1;XP_003129967.1	XP_003129968.1
XP_003129968.1;XP_003129967.1	XP_003129967.1
XP_020918614.1;XP_020918613.1;XP_005667477.2;XP_020918612.1;XP_020918611.1;XP_005667476.2;XP_020918610.1;XP_020918609.1;XP_013834917.2;XP_003129970.2;XP_005667473.2;XP_020918615.1	XP_020918614.1
XP_020918614.1;XP_020918613.1;XP_005667477.2;XP_020918612.1;XP_020918611.1;XP_005667476.2;XP_020918610.1;XP_020918609.1;XP_013834917.2;XP_003129970.2;XP_005667473.2;XP_020918615.1	XP_020918613.1
XP_020918614.1;XP_020918613.1;XP_005667477.2;XP_020918612.1;XP_020918611.1;XP_005667476.2;XP_020918610.1;XP_020918609.1;XP_013834917.2;XP_003129970.2;XP_005667473.2;XP_020918615.1	XP_020918612.1
XP_020918614.1;XP_020918613.1;XP_005667477.2;XP_020918612.1;XP_020918611.1;XP_005667476.2;XP_020918610.1;XP_020918609.1;XP_013834917.2;XP_003129970.2;XP_005667473.2;XP_020918615.1	XP_020918611.1
XP_020918614.1;XP_020918613.1;XP_005667477.2;XP_020918612.1;XP_020918611.1;XP_005667476.2;XP_020918610.1;XP_020918609.1;XP_013834917.2;XP_003129970.2;XP_005667473.2;XP_020918615.1	XP_020918615.1
XP_005667487.1;XP_003129983.1;XP_005667486.1;XP_005667488.1	XP_005667487.1
XP_005667487.1;XP_003129983.1;XP_005667486.1;XP_005667488.1	XP_003129983.1
XP_005667487.1;XP_003129983.1;XP_005667486.1;XP_005667488.1	XP_005667486.1
XP_005667487.1;XP_003129983.1;XP_005667486.1;XP_005667488.1	XP_005667488.1
XP_020918849.1;XP_003130152.1;XP_013844986.1;XP_020918850.1;XP_020918848.1	XP_020918849.1
XP_020918849.1;XP_003130152.1;XP_013844986.1;XP_020918850.1;XP_020918848.1	XP_003130152.1
XP_020918849.1;XP_003130152.1;XP_013844986.1;XP_020918850.1;XP_020918848.1	XP_013844986.1
XP_020918849.1;XP_003130152.1;XP_013844986.1;XP_020918850.1;XP_020918848.1	XP_020918850.1
XP_020918849.1;XP_003130152.1;XP_013844986.1;XP_020918850.1;XP_020918848.1	XP_020918848.1
XP_003130153.1	XP_003130153.1
XP_005656706.1;XP_003130154.1	XP_005656706.1
XP_005656706.1;XP_003130154.1	XP_003130154.1
XP_020958059.1;XP_003130208.3;XP_005667683.2;XP_020958058.1;XP_020958057.1;XP_020958062.1;XP_020958060.1	XP_020958059.1
XP_020958059.1;XP_003130208.3;XP_005667683.2;XP_020958058.1;XP_020958057.1;XP_020958062.1;XP_020958060.1	XP_020958058.1
XP_020958059.1;XP_003130208.3;XP_005667683.2;XP_020958058.1;XP_020958057.1;XP_020958062.1;XP_020958060.1	XP_020958057.1
XP_020958059.1;XP_003130208.3;XP_005667683.2;XP_020958058.1;XP_020958057.1;XP_020958062.1;XP_020958060.1	XP_020958062.1
XP_020958059.1;XP_003130208.3;XP_005667683.2;XP_020958058.1;XP_020958057.1;XP_020958062.1;XP_020958060.1	XP_020958060.1
XP_003130289.1	XP_003130289.1
XP_003130317.3	XP_003130317.3
XP_003130369.3;XP_013845074.1;XP_013845073.1	XP_003130369.3
XP_003130369.3;XP_013845074.1;XP_013845073.1	XP_013845074.1
XP_003130369.3;XP_013845074.1;XP_013845073.1	XP_013845073.1
XP_013835097.1;XP_003130503.1	XP_013835097.1
XP_013835097.1;XP_003130503.1	XP_003130503.1
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	XP_020919982.1
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	XP_020919981.1
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	XP_020919980.1
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	XP_020919978.1
XP_020919982.1;XP_020919981.1;XP_020919980.1;XP_003130551.1;XP_020919978.1;XP_005656837.1;XP_020919977.1;XP_020919976.1;XP_020919975.1;XP_013845145.1	XP_020919977.1
XP_003130588.1	XP_003130588.1
XP_003130704.1;XP_005668106.1	XP_003130704.1
XP_003130704.1;XP_005668106.1	XP_005668106.1
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	XP_020920548.1
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	XP_020920547.1
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	XP_020920546.1
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	XP_020920545.1
XP_020920548.1;XP_020920547.1;XP_013835703.1;XP_003130802.2;XP_005668196.1;XP_020920546.1;XP_020920545.1;XP_013835702.1;XP_013835701.1;XP_020920544.1;XP_005668194.1;XP_013835700.1;XP_013835699.1	XP_020920544.1
XP_003130816.5;XP_013845185.2	XP_003130816.5
XP_003130816.5;XP_013845185.2	XP_013845185.2
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	XP_020920636.1
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	XP_020920635.1
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	XP_020920633.1
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	XP_020920632.1
XP_020920636.1;XP_020920635.1;XP_005668236.1;XP_005668235.1;XP_020920633.1;XP_020920632.1;XP_020920631.1;XP_020920630.1;XP_003130846.1;XP_020920629.1;XP_005668234.1;XP_005668233.1;XP_020920637.1	XP_020920637.1
XP_003130868.2	XP_003130868.2
XP_020921232.1;XP_013835927.1;XP_013835926.1;XP_003130995.1;XP_005668433.1	XP_020921232.1
XP_020921232.1;XP_013835927.1;XP_013835926.1;XP_003130995.1;XP_005668433.1	XP_013835927.1
XP_020921232.1;XP_013835927.1;XP_013835926.1;XP_003130995.1;XP_005668433.1	XP_013835926.1
XP_020921232.1;XP_013835927.1;XP_013835926.1;XP_003130995.1;XP_005668433.1	XP_003130995.1
XP_020921232.1;XP_013835927.1;XP_013835926.1;XP_003130995.1;XP_005668433.1	XP_005668433.1
XP_003131149.1	XP_003131149.1
XP_003131177.2	XP_003131177.2
XP_003131222.1;XP_020922254.1;XP_005656978.1	XP_003131222.1
XP_003131222.1;XP_020922254.1;XP_005656978.1	XP_020922254.1
XP_003131222.1;XP_020922254.1;XP_005656978.1	XP_005656978.1
XP_003131227.2;XP_020922233.1	XP_003131227.2
XP_003131227.2;XP_020922233.1	XP_020922233.1
XP_003131238.1	XP_003131238.1
XP_003131241.1	XP_003131241.1
XP_003131314.1;XP_005668719.1	XP_003131314.1
XP_003131314.1;XP_005668719.1	XP_005668719.1
XP_020922487.1;XP_003131364.1	XP_020922487.1
XP_020922487.1;XP_003131364.1	XP_003131364.1
XP_005668786.1;XP_005668785.1;XP_005668784.1;XP_003131375.1;XP_003131374.1;XP_005668787.1	XP_005668786.1
XP_005668786.1;XP_005668785.1;XP_005668784.1;XP_003131375.1;XP_003131374.1;XP_005668787.1	XP_005668785.1
XP_005668786.1;XP_005668785.1;XP_005668784.1;XP_003131375.1;XP_003131374.1;XP_005668787.1	XP_005668784.1
XP_005668786.1;XP_005668785.1;XP_005668784.1;XP_003131375.1;XP_003131374.1;XP_005668787.1	XP_003131375.1
XP_005668786.1;XP_005668785.1;XP_005668784.1;XP_003131375.1;XP_003131374.1;XP_005668787.1	XP_005668787.1
XP_003131380.1	XP_003131380.1
XP_003131408.3	XP_003131408.3
XP_003131429.1	XP_003131429.1
XP_020922651.1;XP_020922650.1;XP_003131468.2	XP_020922651.1
XP_020922651.1;XP_020922650.1;XP_003131468.2	XP_020922650.1
XP_020922651.1;XP_020922650.1;XP_003131468.2	XP_003131468.2
XP_003131485.1	XP_003131485.1
XP_003131544.1	XP_003131544.1
XP_020922692.1;XP_020922691.1;XP_020922690.1;XP_013835142.1;XP_013835139.1;XP_005653978.1;XP_003131546.1;XP_003126305.1;XP_001928873.1;XP_001926384.1	XP_020922692.1
