Majority protein IDs	protein_ID	Gene Symbol
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_020957906.1	APOC3
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_005667429.1	APOC3
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	NP_001002801.1	APOC3
NP_001002817.1	NP_001002817.1	FABP4
XP_020949255.1;NP_001003924.1	XP_020949255.1	C1QA
XP_020949255.1;NP_001003924.1	NP_001003924.1	C1QA
NP_001003925.1	NP_001003925.1	APOF
NP_001004031.1;XP_020932974.1	NP_001004031.1	DSTN
NP_001004031.1;XP_020932974.1	XP_020932974.1	DSTN
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_020920819.1	HMGB1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_020920818.1	HMGB1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668375.2	HMGB1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668374.2	HMGB1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668373.2	HMGB1
NP_001004042.1	NP_001004042.1	ATP6V1A
NP_001004043.1	NP_001004043.1	CFL1
NP_001004045.1	NP_001004045.1	S100A11
NP_001004049.1;XP_020944404.1	NP_001004049.1	HSD3B1
NP_001004049.1;XP_020944404.1	XP_020944404.1	HSD3B1
NP_001004050.1;XP_020939260.1	NP_001004050.1	PREP
NP_001004050.1;XP_020939260.1	XP_020939260.1	PREP
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665851.1	DDX39B
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665850.1	DDX39B
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665849.1	DDX39B
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_020954000.1	DDX39B
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_003123418.5	DDX39A
NP_001005208.1	NP_001005208.1	ALB
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946776.1	TMBIM6
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946775.1	TMBIM6
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	NP_001005348.1	TMBIM6
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946774.1	TMBIM6
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946794.1	C1S
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	NP_001005349.1	C1S
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946793.1	C1S
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946791.1	C1S
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946792.1	C1S
XP_013848366.1;XP_005659594.1;NP_001005726.1	XP_013848366.1	ANXA2
XP_013848366.1;XP_005659594.1;NP_001005726.1	XP_005659594.1	ANXA2
XP_013848366.1;XP_005659594.1;NP_001005726.1	NP_001005726.1	ANXA2
XP_013852454.1;NP_001005730.1	XP_013852454.1	GBA
XP_013852454.1;NP_001005730.1	NP_001005730.1	GBA
NP_001006592.1;XP_020941551.1	NP_001006592.1	MYLPF
NP_001006592.1;XP_020941551.1	XP_020941551.1	MYLPF
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939341.1	QKI
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939323.1	QKI
