name	condition	replicate	intensity
CDS2	m_wt	736	25.11390332652192
TMCO1	m_wt	736	NA
ACSL1	m_wt	736	31.180919092951406
FBP2	m_wt	736	25.816825662080703
PRKAA1	m_wt	736	NA
IVD	m_wt	736	28.265618336923755
ACAA2	m_wt	736	27.750534136400933
ANXA4	m_wt	736	29.753613529332906
ATOX1	m_wt	736	27.409974183377056
MAT2A	m_wt	736	25.301383993608088
XP_005656819	m_wt	736	25.20220963390545
SCP2	m_wt	736	26.395387173334726
SH3GLB1	m_wt	736	25.338921320464213
CCT2	m_wt	736	28.173647021901406
CCT7	m_wt	736	27.60392318921713
GNAS	m_wt	736	27.96636753190144
COPB1	m_wt	736	26.99226450101173
CALR	m_wt	736	29.3337066133561
APOC2	m_wt	736	NA
PMP2	m_wt	736	NA
CNPY2	m_wt	736	25.24169052398976
RANBP1	m_wt	736	26.273518746709943
FDPS	m_wt	736	27.069993975697546
LTA4H	m_wt	736	27.450497059739085
NP_001172062	m_wt	736	26.07545172891289
ARPC5L	m_wt	736	NA
ARPC3	m_wt	736	25.99864792695569
NANS	m_wt	736	24.42021210917796
NP_001172070	m_wt	736	25.89700656562018
ATP5F1A	m_wt	736	31.808737650808478
ERH	m_wt	736	25.35743065526777
SSR1	m_wt	736	24.248221193711043
SCAMP3	m_wt	736	NA
XP_020944286	m_wt	736	26.44676377027514
NDUFA6	m_wt	736	24.807790807654275
NP_001172109	m_wt	736	NA
DNPEP	m_wt	736	22.599778483793266
APOA2	m_wt	736	27.598467151764762
S100A14	m_wt	736	NA
HOGA1	m_wt	736	NA
ECHS1	m_wt	736	29.66421087815211
RPL30	m_wt	736	26.27355431655279
DYNLRB1	m_wt	736	25.731044480125345
XRCC6	m_wt	736	NA
SLC25A1	m_wt	736	28.299027004846515
ATP6V1G1	m_wt	736	NA
CAMK1	m_wt	736	NA
NDUFA8	m_wt	736	25.98413662012833
ACYP1	m_wt	736	NA
SNRPC	m_wt	736	NA
ATP6V1C1	m_wt	736	NA
XP_020944224	m_wt	736	24.086184180651067
DDRGK1	m_wt	736	21.00264473133513
SNRPF	m_wt	736	NA
DIABLO	m_wt	736	24.940602156049543
PCBD1	m_wt	736	26.882853284291144
COX6A1	m_wt	736	NA
SNU13	m_wt	736	NA
KPNA3	m_wt	736	23.467123902723483
DECR1	m_wt	736	28.10204449491787
ARPC2	m_wt	736	27.311899753544523
GPD1	m_wt	736	31.109610898188997
ATG7	m_wt	736	24.787956746138263
GABARAP	m_wt	736	23.612455490043867
INPP5K	m_wt	736	NA
SOD1	m_wt	736	30.883800197486554
AGO3	m_wt	736	NA
PDIA3	m_wt	736	29.986579796056656
DYNLL1	m_wt	736	NA
PDIA6	m_wt	736	27.846013501070967
ABHD16A	m_wt	736	NA
COMT	m_wt	736	28.31825020535509
CPSF6	m_wt	736	NA
ELAVL1	m_wt	736	25.485574085941526
FKBP4	m_wt	736	25.07537011697448
SDR16C5	m_wt	736	25.124196740584996
VARS	m_wt	736	25.672846779538084
GYS1	m_wt	736	27.16336575285412
GYS2	m_wt	736	24.93053125943562
SRSF9	m_wt	736	NA
PCMT1	m_wt	736	28.18205649137381
PIP4K2A	m_wt	736	24.09571121817248
HSDL2	m_wt	736	25.260512714773927
STAT6	m_wt	736	NA
PSAP	m_wt	736	NA
MAPK1	m_wt	736	27.274976391621987
CLIC5	m_wt	736	24.364995440917387
SLC25A24	m_wt	736	NA
SLC37A4	m_wt	736	NA
AHCYL1	m_wt	736	NA
XP_003124283	m_wt	736	NA
ARHGDIA	m_wt	736	29.155087656114905
SELENOO	m_wt	736	NA
TMED7	m_wt	736	25.221181745285683
PALM2	m_wt	736	NA
RPS4X	m_wt	736	27.27675201651184
TMED3	m_wt	736	NA
XP_020941366	m_wt	736	NA
NME1	m_wt	736	25.771377028607738
MACROD1	m_wt	736	NA
FPGT	m_wt	736	NA
UBE2V1	m_wt	736	26.839420641170136
ETFB	m_wt	736	28.294827271032158
TBCB	m_wt	736	NA
POLR2I	m_wt	736	NA
G3BP1	m_wt	736	NA
CCAR2	m_wt	736	NA
GAPDH	m_wt	736	31.793702212869455
LMF2	m_wt	736	NA
LOX	m_wt	736	NA
VCAN	m_wt	736	NA
ARPC4	m_wt	736	27.39672679898843
RAB10	m_wt	736	25.879491826435157
